title,discounted_price,normal_price,url
ROSIVGA Fashion Quartz Wrist Watch with PU Letecher for Men,$1.61,$1.61,https://www.cigabuy.com/rosivga-fashion-quartz-wrist-watch-with-pu-letecher-for-men-p-19754.html
Men Anti Theft Chest Bag Shoulder Crossbody Bag School Summer Trip Bag A Left,$3.29,$6.58 ,https://www.cigabuy.com/men-anti-theft-chest-bag-shoulder-crossbody-bag-school-summer-trip-bag-left-p-18832.html
Baellerry Men Wallets Classic Long Style Card Holder Male Purse PU Zipper,$4.39,$8.78 ,https://www.cigabuy.com/baellerry-men-wallets-classic-long-style-card-holder-male-purse-pu-zipper-p-18839.html
T9S TWS 5.0 Bluetooth Earphone Wireless Earbuds Magnetic Stereo Sound In-ear,$14.52,$22.68 ,https://www.cigabuy.com/t9s-tws-50-bluetooth-earphone-wireless-earbuds-magnetic-stereo-sound-in-ear-p-19002.html
New Smartwatch Zeblaze Crystal 3 IP67 Long Standby IPS Display Smart Watch,$33.15,$33.15,https://www.cigabuy.com/new-smartwatch-zeblaze-crystal-3-ip67-long-standby-ips-display-smart-watch-p-19232.html
Zeblaze VIBE 5 PRO Color Touch Display  IP67 Smart Watch,$94.18,$94.18,https://www.cigabuy.com/zeblaze-vibe-5-pro-color-touch-display-ip67-smart-watch-p-19233.html
Smart Wristband Screen Tracker Bracelet Pedometer Smart Watch Heart Rate Monitor,$28.66,$28.66,https://www.cigabuy.com/smart-wristband-screen-tracker-bracelet-pedometer-smart-watch-heart-rate-monitor-p-19253.html
Sports Outdoor Backpack 60L Mountaineering Bag with Hiking Travel Bag,$18.15,$18.15,https://www.cigabuy.com/sports-outdoor-backpack-60l-mountaineering-bag-with-hiking-travel-bag-p-18656.html
Mini Wireless Grinding Machine Variable Speed Rotary Tools Drill Engraver Pen,$13.08,$33.60 ,https://www.cigabuy.com/mini-wireless-grinding-machine-variable-speed-rotary-tools-drill-engraver-pen-p-18782.html
W16 TWS In-ear Bluetooth Earphone Digital Display Touch Wireless Earbuds,$11.25,$20.43 ,https://www.cigabuy.com/w16-tws-in-ear-bluetooth-earphone-digital-display-touch-wireless-earbuds-p-19482.html
Cartoon Mini Children Camera Front And Rear Double Digital Small SLR Camera,$16.72,$49.29 ,https://www.cigabuy.com/cartoon-mini-children-camera-front-and-rear-double-digital-small-slr-camera-p-19606.html
UV Protect Car Styling Front Window Sunshade Windshield Film Foldable,$0.33,$10.25 ,https://www.cigabuy.com/uv-protect-car-styling-front-window-sunshade-windshield-film-foldable-p-16997.html
Mini Wireless Bluetooth Stereo Audio Optical Aux 3.5mm Transmitter Music Adapter,$8.12,$22.62 ,https://www.cigabuy.com/mini-wireless-bluetooth-stereo-audio-optical-aux-35mm-transmitter-music-adapter-p-19315.html
PU Leather Backpack Youth Travel Rucksack School Laptop Business Shoulder Bags,$66.01,$66.01,https://www.cigabuy.com/pu-leather-backpack-youth-travel-rucksack-school-laptop-business-shoulder-bags-p-19182.html
L18 Smart Wristband Heart Rate Monitor Blood Pressure Oxygen Smart Bracelet,$20.31,$20.31,https://www.cigabuy.com/l18-smart-wristband-heart-rate-monitor-blood-pressure-oxygen-smart-bracelet-p-19807.html
MEGIR 2028G Men Watch Quartz Leather Watch,$13.19,$28.10 ,https://www.cigabuy.com/megir-2028g-men-watch-quartz-leather-watch-p-18781.html
S03 Smart Watch Waterproof Activity Tracker Smart Band Bracelet,$11.11,$11.11,https://www.cigabuy.com/s03-smart-watch-waterproof-activity-tracker-smart-band-bracelet-p-19736.html
"Xiaomi 3D Glasses Virtual Reality Box for 4.7 - 5.7"" Smart Phones",$10.12,$10.12,https://www.cigabuy.com/xiaomi-3d-glasses-virtual-reality-box-for-47-57-smart-phones-p-19825.html
Sothing Mosquito Swatter Portable Rechargeable Electric Mosquito Killer,$8.79,$8.79,https://www.cigabuy.com/sothing-mosquito-swatter-portable-rechargeable-electric-mosquito-killer-p-18666.html
