rating,number_of_reviews,name
0.0,0,Engineering Mathematics II
0.0,0,Computational Mathematics with SageMath
0.0,0,Introduction to Galois Theory
0.0,0,"Fuzzy Sets, Logic and Systems & Applications"
0.0,0,Advanced Partial Differential Equations
0.0,0,Basic Real Analysis
2.0,1,Discrete Math and Analyzing Social Graphs
0.0,0,Computational Geometry
0.0,0,Introduction to Rings and Fields
0.0,0,Advanced Probability Theory
0.0,0,Probabilistic Methods in PDE
0.0,0,Линейная алгебра: от идеи к формуле
0.0,0,"Analytic Combinatorics, Part II"
0.0,0,"Analytic Combinatorics, Part I"
4.0,1,Aplicaciones de la teoría de grafos a la vida real
0.0,0,Intermediate Algebra
0.0,0,Lógica y usos
0.0,0,Laboratorio de modelización
0.0,0,Descodificando Álgebra
4.0,1,Algebra+
5.0,8,Statistics: Making Sense of Data
0.0,0,Passion Driven Statistics
0.0,0,Initiation à la théorie des distributions
4.5,2,Pre-Calculus
0.0,0,Statistica
0.0,0,Matemáticas esenciales en los números reales y complejos
0.0,0,Partial Differential Equations
5.0,1,Logic: Language and Information 2
0.0,0,Mathematical Analysis
3.5,4,Introduction to Statistics for the Social Sciences
4.6,7,Mathematical Methods for Quantitative Finance
4.7,19,Calculus: Single Variable
4.0,4,Special Relativity
4.4,8,Logic: Language and Information 1
2.0,1,Fondamentaux en statistique
4.7,3,Mathematics: the Language of Nature
3.6,16,Coding the Matrix: Linear Algebra through Computer Science Applications
0.0,0,Science Fiction/Science Fact: Predictions and Math (Lite)
0.0,0,Introducción a la Teoría Combinatoria
0.0,0,Teaching Statistical Thinking: Part 1 Descriptive Statistics
0.0,0,Equations différentielles : de Newton à nos jours
0.0,0,Mujeres coraje. Maestras de la transgresión
0.0,0,Çok Değişkenli Fonksiyonlarda Türev ve Entegral II: İleri Konular ve Uygulamalar / Multivariable Calculus II: Applications and Advanced Topics
4.0,5,Massively Multivariable Open Online Calculus Course
0.0,0,Bases Matemáticas: números y terminología
4.3,4,An Introduction to Functional Analysis
4.2,10,Bases matemáticas: Integrales
0.0,0,Mathe-MOOC: Mathematisch denken!
5.0,1,Matemáticas y Movimiento
0.0,0,数学之旅 The Journey of Mathematics
0.0,0,Aplicaciones de la Teoría de Grafos a la vida real
4.0,4,"Unpredictable? Randomness, Chance and Free Will"
0.0,0,Numbers for Life
5.0,1,Basic Arithmetic
3.3,18,Statistics One
0.0,0,機率 (Probability)
4.7,7,Analysis of a Complex Kind
0.0,0,Metodi quantitativi - Modulo statistica
0.0,0,Einführung in die Wahrscheinlichkeitstheorie
0.0,0,Precalculus Algebra
3.6,12,Pre-Algebra
0.0,0,Álgebra Lineal
0.0,0,Teaching Math to English Language Learners
0.0,0,Introduction to Numerical Methods - Part 2 of 2
4.0,4,Getting a Grip on Mathematical Symbolism
0.0,0,Introductory Course in Real Analysis
0.0,0,Linear Regression Analysis and Forecasting
2.0,1,Technical Math for Industry 
0.0,0,Maths for Humans: Inverse Relations and Power Laws
0.0,0,Mathematics for Chemistry
0.0,0,"Basic Calculus for Engineers, Scientists and Economists"
4.8,13,Introduction to Differential Equations
0.0,0,التفاضل والتكامل 1
0.0,0,التفاضل والتكامل 4
0.0,0,التفاضل والتكامل 2
0.0,0,التفاضل والتكامل 3
0.0,0,Maths for Humans: Linear and Quadratic Relations
0.0,0,Fundamentals of Engineering Statistical Analysis
4.2,11,Calculus Two: Sequences and Series
0.0,0,Chaotic Dynamical Systems
0.0,0,微积分二: 数列与级数 (中文版)
4.5,47,Calculus One
0.0,0,Теория вероятностей – наука о случайности
0.0,0,Теория вероятностей – наука о случайности. Часть 2
0.0,0,Introduction to Probability: Part 2 - Inference and Processes
0.0,0,Une SAGE introduction au calcul formel
4.3,3,Nonlinear Dynamics 1: Geometry of Chaos
0.0,0,Méthodes de sondage et d'enquête
0.0,0,دليل الرياضيات للمرحلة الثانوية /العلمي‎
0.0,0,Geometría analítica
5.0,2,Mathematical Logic and Algorithms Theory
0.0,0,Mathematik Online-Kurs - Mathematisch denken!
4.7,6,Linear Differential Equations
0.0,0,Introduction to Numerical Methods - Part 1 of 2
4.3,7,Nonlinear Differential Equations: Order and Chaos
0.0,0,Differential Calculus in Several Variables
5.0,6,Statistics in Medicine
4.2,5,Applied Logistic Regression
0.0,0,Introduction to Statistical Hypothesis Testing
5.0,1,Statistical Reasoning
5.0,1,Precálculo Alpha: Primer paso a las Matemáticas Universitarias
5.0,1,Descriptive Statistics
0.0,0,Groupes finis : les mathématiques du Rubik's cube
4.0,1,"Maths for Humans: Linear, Quadratic & Inverse Relations"
0.0,0,Introduction à la logique informatique - Partie 2 : calcul des prédicats
2.0,1,Real World Calculus: How Maths Drives Formula One and Launches Angry Birds
0.0,0,Introducing Technology-Enhanced Teaching
4.3,4,Probability
0.0,0,Probability and Statistics
5.0,2,Análisis Estadístico Básico con SPSS
0.0,0,Geometría diferencial y Mecánica: una introducción
0.0,0,Elementary Business Statistics
0.0,0,Topology
0.0,0,Higher Engineering Mathematics
0.0,0,Discrete Mathematics (IITRopar)
0.0,0,คณิตศาสตร์สำหรับวิทยาศาสตร์ข้อมูล (Mathematics for Data Science)
0.0,0,Introductory Non-Linear Dynamics
0.0,0,Discrete Mathematics (IITG)
0.0,0,Mathematical Methods for Boundary Value Problems
0.0,0,Stochastic Processes
0.0,0,Pre-Calculus: Functions
5.0,1,Basic Science: Understanding Numbers
4.5,4,Pre-Calculus: Trigonometry
0.0,0,Applied Logistic Regression
5.0,1,Differential Equations and Their Symmetries Via Mathematical Models
3.3,4,Inferential Statistics
0.0,0,Дифференциальные уравнения и их симметрии на примере математических моделей
5.0,1,Statistique pour l'ingénieur
0.0,0,Quot erat demonstrandum. Curso cero de Matemáticas
0.0,0,Caos y Dinámica No Lineal
0.0,0,Advanced Engineering Mathematics
0.0,0,Survival Statistics: Secrets for Demystifying Numbers
0.0,0,Mathematical methods and its applications
0.0,0,Chaotic Dynamical System
0.0,0,MTH 309 Introduction to Linear Algebra (Placito)
0.0,0,"Collection Mathématiques : 2- Équations du second degré, équations algébriques"
0.0,0,Statistics for Business Economics
0.0,0,Collection Mathématiques : 1- Dérivation et Étude de fonctions
4.8,56,Nonlinear Dynamics: Mathematical and Computational Approaches
0.0,0,Collection Mathématiques : 4- Raisonnement par récurrence et suites numériques
0.0,0,Socle en Mathématiques
0.0,0,Applied Trade Math MOOC
0.0,0,"Matemáticas y Estadística: entiéndelas, úsalas"
0.0,0,Probability and Statistics
0.0,0,Why Numbers Matter: Quantitative Research
0.0,0,Collection Mathématiques : 3- Nombres complexes
0.0,0,Introducción a Matemática I
0.0,0,Modern Algebra
0.0,0,Introducción a Matemática III
0.0,0,แคลคูลัสพื้นฐาน (Basic Calculus)
0.0,0,Statistics Prep
5.0,1,Discrete Mathematics
3.5,4,Applied Regression Analysis
0.0,0,Galois Theory
0.0,0,Discrete Structures
0.0,0,パズルで情報活用 (ga110)
0.0,0,Commutative Algebra
5.0,1,統計学Ⅱ:推測統計の方法 (ga047)
0.0,0,How Cryptography Keeps The Internet Secure
4.7,3,Statistical Reasoning for Public Health 2: Regression Methods
0.0,0,Álgebra Básica
0.0,0,Calculus of One Real Variable
0.0,0,Modern Algebra
0.0,0,Mathématiques : préparation à l'entrée dans l'enseignement supérieur
0.0,0,Algèbre linéaire de première année d’enseignement supérieur
0.0,0,Introduction to Methods of Applied Mathematics
0.0,0,Integral Transforms And Their Applications
0.0,0,Regression analysis
0.0,0,Mathematical Finance
0.0,0,"Introduction to Fuzzy Set Theory, Arithmetic and Logic"
0.0,0,A basic course in number theory
0.0,0,Information Theory
